	id	title	text	answer
14	post_7	Coursera	Should I be able to see this class on Coursera? I have a section that says Illinois Campus, but the only thing there is an onboarding course?	"Try
https://www.coursera.org/learn/cs-410/home/welcome"
16	post_8	CS410 not showing up in Coursera	"CS410 is currently not showing up in my list of in progress classes in Coursera.
When I click on any of the links that direct the course page on Coursera I am redirected to this page.
Is this as it should be? I am wondering whether or not I have been added/invited to the class."	"Try this URL - https://www.coursera.org/learn/cs-410/home/welcome
It should show up like this screenshot. Else I would suggest contacting support desk."
19	post_12	Question on Tech Review	"I am referring the following section under syllabus page :
Tech Review (for 4-credit students). It will require you to generate a short 1-2 page review on an interesting course-related cutting-edge technology topic not covered in any lecture.
What is the significance on mentioning for 4-credit students in the bracket ? Is this an optional activity for some students ?"	"Students that are registered for this course are either in a 3 or 4 credit hour section. I believe the that graduate students (those who are either enrolled in an online MCS or on-campus MS/MCS) are registered for the 4 credit hour sections, whereas undergrads register for the 3 hour section.
Tech review is required for students in the 4 hour section, but is not required for students in the 3 hour section."
20	post_12	Question on Tech Review	"I am referring the following section under syllabus page :
Tech Review (for 4-credit students). It will require you to generate a short 1-2 page review on an interesting course-related cutting-edge technology topic not covered in any lecture.
What is the significance on mentioning for 4-credit students in the bracket ? Is this an optional activity for some students ?"	Does the review count for our final grade?
21	post_14	Week 1 Project Overview + Tech. Review Readings Locked?	"I already read through these but wanted to check back and reread.  They are currently locked for me:
Are changes being made?"	We are still working on those pages and will make them available soon. There  is no task from either the Course Project or the Tech Review due any time soon, so please don't worry about missing any important information. In general, please ignore any pages that are not visible to you at this point.
22	post_14	Week 1 Project Overview + Tech. Review Readings Locked?	"I already read through these but wanted to check back and reread.  They are currently locked for me:
Are changes being made?"	These appear to be available now
23	post_14	Week 1 Project Overview + Tech. Review Readings Locked?	"I already read through these but wanted to check back and reread.  They are currently locked for me:
Are changes being made?"	it is locked for me too
24	post_14	Week 1 Project Overview + Tech. Review Readings Locked?	"I already read through these but wanted to check back and reread.  They are currently locked for me:
Are changes being made?"	It is available now..
29	post_17	Registering on Coursera?	"Hi, I am an undergrad student. I tried to find the course on Coursera and reviewed what has been said on Campuswire.
The closest clue I got is by applying this.
https://www.coursera.org/degrees/master-of-computer-science-illinois
I wonder if there will be a post of tutorial on how to register for the class?"	"Once you register here:
https://banner.apps.uillinois.edu/StudentRegistrationSSB/ssb/registration?mepCode=1UIUC
..and they process your registration, the Coursera course should show up here:
https://www.coursera.org/home"
30	post_17	Registering on Coursera?	"Hi, I am an undergrad student. I tried to find the course on Coursera and reviewed what has been said on Campuswire.
The closest clue I got is by applying this.
https://www.coursera.org/degrees/master-of-computer-science-illinois
I wonder if there will be a post of tutorial on how to register for the class?"	"https://www.coursera.org/illinois -> Login with your Organization (UIUC account). You should see the course in ""My Courses"""
31	post_17	Registering on Coursera?	"Hi, I am an undergrad student. I tried to find the course on Coursera and reviewed what has been said on Campuswire.
The closest clue I got is by applying this.
https://www.coursera.org/degrees/master-of-computer-science-illinois
I wonder if there will be a post of tutorial on how to register for the class?"	If you have not registered, you may do based on David's answer. After registration, based on #8 and #9, you will need to finish the onboarding course, and then wait for 6-12 hours before CS410 appears in your Coursera.
32	post_17	Registering on Coursera?	"Hi, I am an undergrad student. I tried to find the course on Coursera and reviewed what has been said on Campuswire.
The closest clue I got is by applying this.
https://www.coursera.org/degrees/master-of-computer-science-illinois
I wonder if there will be a post of tutorial on how to register for the class?"	You will need to fully complete the onboarding course before you see the class. I had the same issue and after finishing the onboarding course CS410 showed up about 6 hours later on my dashboard
33	post_18	TA Office hours-21st August	Unable to join the meeting from the link mentioned in the mail . Can anyone help me by mentioning the meeting id?	"Below is the reply from MCS Support
""My apologies. TA Office Hours don't start until next week (first week of class). The Live Event you're referring to was created by mistake and has been deleted since. Sorry for the confusion."""
34	post_18	TA Office hours-21st August	Unable to join the meeting from the link mentioned in the mail . Can anyone help me by mentioning the meeting id?	I can't join the meet either. Please let me know if you can.
35	post_18	TA Office hours-21st August	Unable to join the meeting from the link mentioned in the mail . Can anyone help me by mentioning the meeting id?	Same here, I'm unable to join as well.
36	post_19	What does the professor mean when he says grades based on completion?	I was watching the introductory video for the class and the professor said the grade will be based on completion. Can someone please tell me which assignments will be based off completion and what assignments are based on grades or otherwise?	"It means that if you have completed the assignment task satisfactorily (i.e., satisfying all the specified basic requirements), you will receive full points for the assignment. The ""basic requirements"" will be specified very clearly and can often be satisfied if sufficient effort is made (e.g., a minimum length for a report)."
38	post_20	Download lecture notes	Is there anyway I can download the lecture notes from Coursera?	When you click on a video to watch there would be a download button and also a drop down arrow next to it. When you click on it you will see many options and one would be a .pdf as shown in the picture. if you click that it would either open in a new tab or download will begin depending on your browser settings.
39	post_20	Download lecture notes	Is there anyway I can download the lecture notes from Coursera?	"People also use coursera-dl for batch download. It needs some time to configure it though.
https://github.com/coursera-dl/coursera-dl"
40	post_21	Can't sign up for LiveDataLab	I get a page not found when I click on the link provided for the LiveDataLab on Coursera. Will further instructions be provided or is there something else I need to do?	LiveDataLab is a complicated cloud-based infrastructure, which we are still working on setting up. We hope to complete the setup ASAP and will post a note here once it's available. You don't need to do anything for now.  LiveDataLab is used for MPs, and the hard deadline for MP1 is sometime in Oct.
41	post_21	Can't sign up for LiveDataLab	I get a page not found when I click on the link provided for the LiveDataLab on Coursera. Will further instructions be provided or is there something else I need to do?	Think this was answered in the #6. They should get it Monday.
42	post_22	Can't find onboarding course	Hi, I am signed up for CS 410 as an undergrad and have a Coursera account, but I do not see the onboarding course to take. Is there a specific email I should be looking for title-wise? If not, should I just contact the help desk?	It turns out my account was not linked yet, but MCS helped resend the link to do so.
43	post_22	Can't find onboarding course	Hi, I am signed up for CS 410 as an undergrad and have a Coursera account, but I do not see the onboarding course to take. Is there a specific email I should be looking for title-wise? If not, should I just contact the help desk?	"There should be an email, just search onboard or Coursera, you will see it.
Do the onboard and you should see the course within 6-12 hours after completion."
44	post_22	Can't find onboarding course	Hi, I am signed up for CS 410 as an undergrad and have a Coursera account, but I do not see the onboarding course to take. Is there a specific email I should be looking for title-wise? If not, should I just contact the help desk?	Log in to coursera organization account (UIUC) and you should see it under My courses
45	post_25	MP1 -Which is the correct Due Date and how different it is from Hard Deadline?	"Hi TAs and Professor,
I am seeing the Due Date for MP1 as Sep 5th under the Grade section.
But, when I go to Week2 -> Programming Assignment 1 ->  MP1, it says in Coursera-
You should complete MP1 by Sunday, September 13 2020, 11:59pm (CDT).
At the same time, in Week1 -> Course Deadlines, Late Policies, and Academic Calendar, it says:
Wanted to know which Due Dates should we be following in future and how our grades would be affected in case we miss the first Due Date for submission. Thank you."	"Thanks for your question! We have just updated the deadlines. Please also check information in the orientation part.
For MPs, if you finish after the due time but before the hard deadlines, you will receive 50% of points. If later than hard deadlines, you would get no points."
46	post_25	MP1 -Which is the correct Due Date and how different it is from Hard Deadline?	"Hi TAs and Professor,
I am seeing the Due Date for MP1 as Sep 5th under the Grade section.
But, when I go to Week2 -> Programming Assignment 1 ->  MP1, it says in Coursera-
You should complete MP1 by Sunday, September 13 2020, 11:59pm (CDT).
At the same time, in Week1 -> Course Deadlines, Late Policies, and Academic Calendar, it says:
Wanted to know which Due Dates should we be following in future and how our grades would be affected in case we miss the first Due Date for submission. Thank you."	"I saw the below info in ""Late Policy"" section in ""Course Deadlines, Late Policies, and Academic Calendar"". Should be useful for your info.
""MPs submitted after the due date and before the hard deadline will receive a 50% penalty.""
""The hard deadline is the deadline after which you will receive 0 points on assignments"""
47	post_25	MP1 -Which is the correct Due Date and how different it is from Hard Deadline?	"Hi TAs and Professor,
I am seeing the Due Date for MP1 as Sep 5th under the Grade section.
But, when I go to Week2 -> Programming Assignment 1 ->  MP1, it says in Coursera-
You should complete MP1 by Sunday, September 13 2020, 11:59pm (CDT).
At the same time, in Week1 -> Course Deadlines, Late Policies, and Academic Calendar, it says:
Wanted to know which Due Dates should we be following in future and how our grades would be affected in case we miss the first Due Date for submission. Thank you."	Yeah you have till the hard deadline to earn some credit, but after it you will receive no credit.
48	post_25	MP1 -Which is the correct Due Date and how different it is from Hard Deadline?	"Hi TAs and Professor,
I am seeing the Due Date for MP1 as Sep 5th under the Grade section.
But, when I go to Week2 -> Programming Assignment 1 ->  MP1, it says in Coursera-
You should complete MP1 by Sunday, September 13 2020, 11:59pm (CDT).
At the same time, in Week1 -> Course Deadlines, Late Policies, and Academic Calendar, it says:
Wanted to know which Due Dates should we be following in future and how our grades would be affected in case we miss the first Due Date for submission. Thank you."	If I understand, the Due Date column is recommended date to complete the assignment and wont be any penalty if you miss the Due Date (that is more like a soft deadline to keep you go with the pace). The Hard Deadline is what I believe they expect you to complete the assignment for sure.
49	post_26	Exam format + note taking	"Hi, I was wondering if exams would be open-book exams? Also, any suggestion on how to take notes while reviewing the lectures, e.g. should I take detailed notes or just important bullet points?
Thanks!
Tony"	"Course introduction video doesn't say anything about open book exams and also from previous students I never heard exams are open book. So I would conclude proctored exams aren't open book.
Regarding notes, each student has their own style of doing things. Do as you feel comfortable for your learning. Although you can download the lecture videos and go through them even when you are offline."
50	post_26	Exam format + note taking	"Hi, I was wondering if exams would be open-book exams? Also, any suggestion on how to take notes while reviewing the lectures, e.g. should I take detailed notes or just important bullet points?
Thanks!
Tony"	"I would recommend using Ipad + apple pencil + Notability app to take notes! It's totally worth it (Although you need to buy all of them). However, you can easily download pdf files as notes into Notability and simply handwrite your notes on them.
Here is my note for example:"
52	post_27	Prerequisite knowledge needed for this class	"Hi there,
I took the pre-quiz and completed week 1 lectures, and noticed that there are some questions involving linear algebra and statistics. I have been out of school for quite awhile, so my knowledge in these areas is pretty rusty. Just wondering what prerequisite knowledge is needed for this class so that I can revise on them.
Thank you."	I think we just need the very basic of matrix and probability and conditional probability.
53	post_27	Prerequisite knowledge needed for this class	"Hi there,
I took the pre-quiz and completed week 1 lectures, and noticed that there are some questions involving linear algebra and statistics. I have been out of school for quite awhile, so my knowledge in these areas is pretty rusty. Just wondering what prerequisite knowledge is needed for this class so that I can revise on them.
Thank you."	"Hey there, you may check the textbook. The second chapter has some background introduction :)
https://www.amazon.com/dp/197000116X/ref=cm_sw_r_cp_awdb_imm_12SYAET13TNC38M4QR3H"
54	post_27	Prerequisite knowledge needed for this class	"Hi there,
I took the pre-quiz and completed week 1 lectures, and noticed that there are some questions involving linear algebra and statistics. I have been out of school for quite awhile, so my knowledge in these areas is pretty rusty. Just wondering what prerequisite knowledge is needed for this class so that I can revise on them.
Thank you."	On a related note, how much prior programming experience (i.e., expertise in a language) is required to do well in this course?
55	post_27	Prerequisite knowledge needed for this class	"Hi there,
I took the pre-quiz and completed week 1 lectures, and noticed that there are some questions involving linear algebra and statistics. I have been out of school for quite awhile, so my knowledge in these areas is pretty rusty. Just wondering what prerequisite knowledge is needed for this class so that I can revise on them.
Thank you."	I have heard high school level stat and linear algebra should be good enough to get through it.
56	post_29	Deadline of Course Project	"Hi, TAs and Professor.
I'm seeing the deadline of course project in Coursera -> Week1 -> course deadlines, but the deadline of project code, project document, and project presentation looks strange to me.
The deadline of submission is after peer review, which seems contradictory. How could I review it before others submit it?
Thanks."	"Good catch, sorry about that! Just updated the hard deadlines.
As for the release dates, please hang tight. We are still in the process of finalizing the submission infrastructure and course project topics, and will send an update once everything is ready."
57	post_30	Simplest VSM and Bloom Filter	"I noticed that they are somewhat similar: both use bit vector, both use hash functions, and both could produce false positives but no false negatives (well, in case of VSM, false positive would mean less relevant document being ranked higher, and false negative would mean relevant document being ranked lower).
Is one inspired by another?"	"I think bloom filters are great for space optimization and for a quick 'not of interest' filter, because as you said, they can get false positives but not false negatives.
I am also curious how locality sensitive hashing relates to text retrieval and VSM"
58	post_31	FYI: Textbook	"The optional textbook, Text data management and analysis: A practical introduction to information retrieval and text mining, is available for free online through the UIUC library system.
https://dl-acm-org.proxy2.library.illinois.edu/doi/book/10.1145/2915031"	Forgot the permalink
59	post_31	FYI: Textbook	"The optional textbook, Text data management and analysis: A practical introduction to information retrieval and text mining, is available for free online through the UIUC library system.
https://dl-acm-org.proxy2.library.illinois.edu/doi/book/10.1145/2915031"	"Also this goes straight to the ACM Books page for it:
https://dl-acm-org.proxy2.library.illinois.edu/doi/book/10.1145/2915031"
63	post_36	ProctorU Pricing	From the ProctorU section, I just want to confirm that I am reading it correctly that we will need to pay to take the exams? Based off the attached link it says that we will have to pay $16 for each exam since they are a hour long?	Students don't need to pay for the ProctorU since it's involved in the tuitions.
64	post_36	ProctorU Pricing	From the ProctorU section, I just want to confirm that I am reading it correctly that we will need to pay to take the exams? Based off the attached link it says that we will have to pay $16 for each exam since they are a hour long?	Yup, that's right!
65	post_36	ProctorU Pricing	From the ProctorU section, I just want to confirm that I am reading it correctly that we will need to pay to take the exams? Based off the attached link it says that we will have to pay $16 for each exam since they are a hour long?	Exams proctored through ProctorU cost $16.00 (1 hr. or Less practice exam), $22.00 (1-2 hrs. exam), $30.00 (2-3 hrs. exam), or $38.00 (3 or more hrs. exam)
66	post_37	LiveDataLab Enrollment Failed	"Hi!
LiveDataLab is now accessible for me. I just created an account a minute ago. However, when following the link (http://livelab.centralus.cloudapp.azure.com/course/join/IPELP6JA8T7RD7L) to join CS410 on LiveDataLab, I see this error:
Enrollment Failed

Enrollment failed with error:
Requested course does not exist."	"Hi everyone,
Yes, the link is now live, but we are still in the process of uploading and testing the assignments. We will send out a notification once everything is ready. Thank you for your patience!"
67	post_37	LiveDataLab Enrollment Failed	"Hi!
LiveDataLab is now accessible for me. I just created an account a minute ago. However, when following the link (http://livelab.centralus.cloudapp.azure.com/course/join/IPELP6JA8T7RD7L) to join CS410 on LiveDataLab, I see this error:
Enrollment Failed

Enrollment failed with error:
Requested course does not exist."	I'm getting the same error.
68	post_37	LiveDataLab Enrollment Failed	"Hi!
LiveDataLab is now accessible for me. I just created an account a minute ago. However, when following the link (http://livelab.centralus.cloudapp.azure.com/course/join/IPELP6JA8T7RD7L) to join CS410 on LiveDataLab, I see this error:
Enrollment Failed

Enrollment failed with error:
Requested course does not exist."	still same error here as well
69	post_37	LiveDataLab Enrollment Failed	"Hi!
LiveDataLab is now accessible for me. I just created an account a minute ago. However, when following the link (http://livelab.centralus.cloudapp.azure.com/course/join/IPELP6JA8T7RD7L) to join CS410 on LiveDataLab, I see this error:
Enrollment Failed

Enrollment failed with error:
Requested course does not exist."	Same error here
70	post_37	LiveDataLab Enrollment Failed	"Hi!
LiveDataLab is now accessible for me. I just created an account a minute ago. However, when following the link (http://livelab.centralus.cloudapp.azure.com/course/join/IPELP6JA8T7RD7L) to join CS410 on LiveDataLab, I see this error:
Enrollment Failed

Enrollment failed with error:
Requested course does not exist."	Answered in #21, it seems they are still working on setting up LiveDataLab.
71	post_37	LiveDataLab Enrollment Failed	"Hi!
LiveDataLab is now accessible for me. I just created an account a minute ago. However, when following the link (http://livelab.centralus.cloudapp.azure.com/course/join/IPELP6JA8T7RD7L) to join CS410 on LiveDataLab, I see this error:
Enrollment Failed

Enrollment failed with error:
Requested course does not exist."	"Okay I tried another way to access this GitHub link first: https://github.com/CS410Fall2020/MP1
Hope this is the right link…?
But I still can’t access the website "
72	post_37	LiveDataLab Enrollment Failed	"Hi!
LiveDataLab is now accessible for me. I just created an account a minute ago. However, when following the link (http://livelab.centralus.cloudapp.azure.com/course/join/IPELP6JA8T7RD7L) to join CS410 on LiveDataLab, I see this error:
Enrollment Failed

Enrollment failed with error:
Requested course does not exist."	Same error on my end :(
73	post_39	`ImportError: No module named timeout` on MP1 submission log	"Hello,
Any pointers on how to resolve this ImportError?
I get the following error log from the auto-grader when trying to submit MP1.
I'm fairly confident that my code is correct (tested on Python 3.5).
The problematic line appears to be
from timeout import Timeout
ImportError: No module named timeout
I think this is from the grader code.
LiveDataLab Log Output"	sounds like they may still be setting up the environment based on this post
75	post_40	Cannot access Google Sheet / faculty directory sign up for MP2	"Hello,
I cannot get to this Google sheet. The instructions reference using our university email. I tried that too, but I also get an error due to not having a university accounts through Google. I requested access to my personal email, but this doesn't align with the instructions, so I'm sharing here in case there is a different way that we are supposed to sign up.
Feedback welcome on how to access. Thanks!
I"	Login with your Illinois.edu email. And then navigate to this link
76	post_40	Cannot access Google Sheet / faculty directory sign up for MP2	"Hello,
I cannot get to this Google sheet. The instructions reference using our university email. I tried that too, but I also get an error due to not having a university accounts through Google. I requested access to my personal email, but this doesn't align with the instructions, so I'm sharing here in case there is a different way that we are supposed to sign up.
Feedback welcome on how to access. Thanks!
I"	I have faced this issue earlier too. I have solved it by switching the google account to @illinois.edu.
77	post_40	Cannot access Google Sheet / faculty directory sign up for MP2	"Hello,
I cannot get to this Google sheet. The instructions reference using our university email. I tried that too, but I also get an error due to not having a university accounts through Google. I requested access to my personal email, but this doesn't align with the instructions, so I'm sharing here in case there is a different way that we are supposed to sign up.
Feedback welcome on how to access. Thanks!
I"	You might want to register a google account using the university email. But I guess the access is probably not yet granted since there's a month before mp2 is due.
78	post_40	Cannot access Google Sheet / faculty directory sign up for MP2	"Hello,
I cannot get to this Google sheet. The instructions reference using our university email. I tried that too, but I also get an error due to not having a university accounts through Google. I requested access to my personal email, but this doesn't align with the instructions, so I'm sharing here in case there is a different way that we are supposed to sign up.
Feedback welcome on how to access. Thanks!
I"	You probably need to change your email-id to your official educational id for access. You are currently signed in with your personal id.
80	post_43	Cannot Install metapy pytoml from Mac terminal	Hi! I couldn't install metapy pytoml from my terminal, Gives me the error message as below: any suggestion on how to solve this issues:	"It looks like you don't have cmake so perhaps install homebrew:
https://brew.sh/
and then:
brew install cmake
But I also remember reading that metapy was working only for python 3.5. It looks like you are using 3.9."
81	post_43	Cannot Install metapy pytoml from Mac terminal	Hi! I couldn't install metapy pytoml from my terminal, Gives me the error message as below: any suggestion on how to solve this issues:	"Use the following link to install cmake
https://github.com/Kitware/CMake/releases/download/v3.20.5/cmake-3.20.5-macos-universal.dmg"
82	post_43	Cannot Install metapy pytoml from Mac terminal	Hi! I couldn't install metapy pytoml from my terminal, Gives me the error message as below: any suggestion on how to solve this issues:	Please uninstall Python 3.9 and install Python 3.5, first. I also suffered a similar cmake error with Python 3.9.
83	post_44	Is the online course intro video for all sections of cs 410?	It talks particularly of section DSO but I'm in section Tl1. I just want to make sure that I didn't make a mistake	You haven't made a mistake. The course originally had just one section (i.e., DSO). The department has added two additional sections (i.e. ,TI1 and TI2) to accommodate on-campus students. My introduction video was also from last year, so please ignore any out-of-date information in the video.
84	post_50	Will office hours be recorded?	Previous courses I've taken have provided recordings of office hours for students who are not able to make them to review later. Will this course also record office hours or will they only be live?	Yes, our office hours will be recorded and the videos will be available to you later.
85	post_52	Issue with MP Setup	"I tried multiple times to set up MP following the instruction ""mp setup.pdf"". In step 8, I always get issue with ""remote: Invalid username or password"". I searched solutions online using a personal access token. I also updated the keychain password with the token but still got this error. Did anyone have saw the same issue and fix it?"	I got this message when I entered CLI commands and found out that github has moved from password to personal tokens.  I set up a personal token from setup:developer settings: personal settings.  This fixed it for me.
86	post_52	Issue with MP Setup	"I tried multiple times to set up MP following the instruction ""mp setup.pdf"". In step 8, I always get issue with ""remote: Invalid username or password"". I searched solutions online using a personal access token. I also updated the keychain password with the token but still got this error. Did anyone have saw the same issue and fix it?"	"if you use 2FA then user/pass authentication will not work,  I did this step successfully via SSH
git push --mirror git@github.com:<username>/MP1_private.git
of course you need to have set up SSH already"
88	post_60	Does anyone know if we can take the exams early?	I may be out of the country the week of the second exam. Is it something I can take a week early? I haven't seen anything written, so this may be a question for the professor/ TAs.	Exams will have a window of a few days (4 to 5 days) in which you can take it. If you have a legitimate excuse or conflict with all exam window dates, they we can work together so you can reschedule and take your exam later after the main exam window (not before!!)
89	post_60	Does anyone know if we can take the exams early?	I may be out of the country the week of the second exam. Is it something I can take a week early? I haven't seen anything written, so this may be a question for the professor/ TAs.	Exams must be taken during the time window specified in Coursera.
90	post_62	"How many times can we take the ""Practice Quiz""?"	"can we take the practice quiz more than 2 times?
If I start the Weekly Quiz which has only 2 attempts, is there any time to finish the quiz?"	You can take the practice quiz any number of times.
91	post_62	"How many times can we take the ""Practice Quiz""?"	"can we take the practice quiz more than 2 times?
If I start the Weekly Quiz which has only 2 attempts, is there any time to finish the quiz?"	The weekly quiz says 1hr duration but I submitted my week1 quiz slightly after 1hr and it still worked.
92	post_63	How much do DSO and TI1 sessions align?	How similar is the course content between the DSO and TI1 sessions? I have friends enrolled in T11 sessions, and I wanted to see if it is possible for us to study for quizzes/exams together and helping each other on assignments.	"Yes! all sections of CS410 are very very similar. No change in material taught, or assignments at all. You will work on the same MPs and Project milestones, and submit your work in exactly the same way too. The only difference is between students taking the class for 3 credits and those taking the class for 4 credits. 4 credit students must complete the ""Tech Review"" while 3 credit students don't."
93	post_64	MP setup	I have tried my access token as password but I still can't make it, may anyone help?	We are still testing all the MPs, so  you can wait until we finish testing MP1 to start working on it. Since other students didn't seem to have the same problem, I suspect it has to do with your computing environment (e.g., using a Mac vs. a Windows system).  Maybe you can share more information about what OS you are using.
94	post_64	MP setup	I have tried my access token as password but I still can't make it, may anyone help?	You can give it a try to check your keychain setup step if you are using macOS. I fixed it after changing the default value for Account and Where.
95	post_64	MP setup	I have tried my access token as password but I still can't make it, may anyone help?	I used command prompt for the mirror push then chose 'web browser' as authentication method instead of token and it worked for me.
96	post_64	MP setup	I have tried my access token as password but I still can't make it, may anyone help?	I created a separate access token for my cli.  It worked for me.
97	post_64	MP setup	I have tried my access token as password but I still can't make it, may anyone help?	"Try setting up a new access token if it's still not working.
I don't believe (someone can correct me if I'm wrong) that it has to be the same token as the one to set up LiveDataLab. One is to authenticate to the service, but the other can just be used between your terminal and github."
98	post_67	Looking for Teammate for Course Project	"Hi Everyone,
I'm looking to form a team of 3-4 people max. My time zone is PST. Would be great if someone is from the same time zone as I work Full time 9-5pm.
Thanks,
Mony Chhen"	"All team member requests are here
https://campuswire.com/c/G0A3AA370/feed/169"
99	post_67	Looking for Teammate for Course Project	"Hi Everyone,
I'm looking to form a team of 3-4 people max. My time zone is PST. Would be great if someone is from the same time zone as I work Full time 9-5pm.
Thanks,
Mony Chhen"	Slack would be a right place to look for a teammate, I guess.
100	post_67	Looking for Teammate for Course Project	"Hi Everyone,
I'm looking to form a team of 3-4 people max. My time zone is PST. Would be great if someone is from the same time zone as I work Full time 9-5pm.
Thanks,
Mony Chhen"	I am in PST and am interested in working with you as well.
101	post_67	Looking for Teammate for Course Project	"Hi Everyone,
I'm looking to form a team of 3-4 people max. My time zone is PST. Would be great if someone is from the same time zone as I work Full time 9-5pm.
Thanks,
Mony Chhen"	Hi, My time zone is PST and I'm interested to work with you
102	post_67	Looking for Teammate for Course Project	"Hi Everyone,
I'm looking to form a team of 3-4 people max. My time zone is PST. Would be great if someone is from the same time zone as I work Full time 9-5pm.
Thanks,
Mony Chhen"	I am also interested but I am on CDT
103	post_67	Looking for Teammate for Course Project	"Hi Everyone,
I'm looking to form a team of 3-4 people max. My time zone is PST. Would be great if someone is from the same time zone as I work Full time 9-5pm.
Thanks,
Mony Chhen"	I would be interested in teaming up with you. I am on PST as well.
105	post_68	Is there any programming assignment in week1? What does MP stands for in assignment?	Is there any programming assignment in week1? What does MP stands for in assignment?	"MP = ""Machine Problem"""
106	post_68	Is there any programming assignment in week1? What does MP stands for in assignment?	Is there any programming assignment in week1? What does MP stands for in assignment?	"I do not think there is any program assignment in week 1. The first one is for week 2 according to the calendar.
I know some people use MP to stand up for ""Machine Programming"", but not 100% sure if this is the intent here."
109	post_78	Maximum size of group	Hi, I wonder what is the maximum size for the project group?	We originally thought that the maximum size is 3, but given that some of you requested to have a larger group size and we in general encourage you to collaborate with your peers to finish a more impactful project than what you could do with yourself, we have just decided to increase the maximum size to 5. We will update any relevant Coursera pages to reflect this change soon.
110	post_78	Maximum size of group	Hi, I wonder what is the maximum size for the project group?	I guess it is 3 and if more than 3 you have to take instructor approval and the project should be such that you can easily divide work without too much coordination among so many members.
111	post_80	https://github.com/CS410Fall2020/MP1.git 404 error?	"Hi -
I am following these [instructions] I am unable to mirror the repo mentioned, throws a 404 error https://github.com/CS410Fall2020/MP1.git (https://d18ky98rnyall9.cloudfront.net/Dzke2aP9TGC5Htmj_Sxgjg_59737a6e41dc41efae3c1c5ca47d5da2_mp-setup.pdf?Expires=1629936000&Signature=g1IzyK5BRxs~igfk9hzcRzJ5ZLWYzRlGlmy~loCfjjJ8NFkgM4mINduHPV-nhm0ByF-0SlRvG4oZoZm-lhTG8PvfpL~xsKWUCiL58bx1FK1ZFVbCUVuhieJtbmrsQO3D9ucnwH3-MPMpO71AMLQ0ZGDiXCbAXNdtYd3jozJOUXE_&Key-Pair-Id=APKAJLTNE6QMUY6HBC5A)."	ah, sorry, can you try https://github.com/CS410Assignments/MP1.git ? we renamed the github
